user_id,product_id,interaction,timestamp
528,326,purchase,2025-01-02 08:39:43
227,214,view,2025-01-18 06:10:07
800,379,purchase,2025-01-05 16:48:16
475,226,add_to_cart,2025-01-07 18:41:04
729,196,view,2025-01-10 19:49:42
516,489,view,2025-01-04 10:54:39
750,15,view,2025-01-13 17:32:06
517,144,add_to_cart,2025-01-08 17:18:45
18,304,add_to_cart,2025-01-04 01:06:04
4,341,purchase,2025-01-07 02:17:34
743,482,purchase,2025-01-02 00:37:24
85,146,view,2025-01-20 12:51:49
895,192,purchase,2025-01-13 10:14:39
475,102,add_to_cart,2025-01-15 20:45:34
396,43,purchase,2025-01-08 15:39:53
292,211,purchase,2025-01-15 21:28:47
908,173,view,2025-01-11 04:10:59
302,49,add_to_cart,2025-01-01 21:01:04
653,31,purchase,2025-01-17 17:34:11
641,494,add_to_cart,2025-01-01 11:22:06
45,123,add_to_cart,2025-01-20 02:48:48
819,215,purchase,2025-01-11 06:17:47
463,484,add_to_cart,2025-01-10 20:50:39
784,34,purchase,2025-01-02 06:25:41
831,253,purchase,2025-01-13 18:24:25
121,185,view,2025-01-04 01:48:42
111,220,view,2025-01-05 22:36:24
253,217,purchase,2025-01-11 13:59:55
742,67,purchase,2025-01-08 13:27:23
506,475,view,2025-01-13 17:00:41
802,256,view,2025-01-09 07:31:29
753,74,view,2025-01-08 14:07:43
363,363,add_to_cart,2025-01-20 10:40:53
550,382,view,2025-01-03 13:03:14
424,304,view,2025-01-19 14:24:36
722,114,purchase,2025-01-12 02:23:04
710,87,purchase,2025-01-05 19:45:46
429,7,view,2025-01-16 09:20:36
526,308,view,2025-01-10 22:42:25
387,159,view,2025-01-05 20:45:57
969,80,view,2025-01-17 02:15:57
538,294,add_to_cart,2025-01-05 05:59:08
551,69,view,2025-01-19 12:36:47
498,91,view,2025-01-03 00:40:39
742,146,add_to_cart,2025-01-19 06:10:16
684,137,view,2025-01-06 06:47:35
806,56,view,2025-01-03 14:12:04
253,341,purchase,2025-01-02 03:51:01
885,174,purchase,2025-01-02 20:30:38
261,360,purchase,2025-01-10 18:53:08
844,74,purchase,2025-01-11 23:50:57
545,177,view,2025-01-09 15:17:09
679,47,view,2025-01-13 20:41:01
270,289,view,2025-01-12 06:48:45
331,385,add_to_cart,2025-01-11 12:55:10
399,284,purchase,2025-01-09 23:26:41
43,95,add_to_cart,2025-01-08 00:15:23
3,128,add_to_cart,2025-01-15 04:16:59
805,399,purchase,2025-01-14 17:19:25
852,432,purchase,2025-01-09 04:59:40
217,203,view,2025-01-04 14:39:43
489,441,view,2025-01-02 00:05:57
513,244,view,2025-01-06 07:13:54
938,454,view,2025-01-04 18:39:23
917,227,add_to_cart,2025-01-16 02:15:29
764,307,purchase,2025-01-14 19:11:28
847,133,view,2025-01-18 20:38:30
158,396,view,2025-01-09 11:41:08
192,393,add_to_cart,2025-01-09 03:10:37
730,359,purchase,2025-01-01 15:13:03
598,292,view,2025-01-19 22:31:43
162,153,purchase,2025-01-14 11:44:51
472,284,view,2025-01-12 21:02:27
858,76,purchase,2025-01-20 06:32:57
1,14,add_to_cart,2025-01-07 06:34:16
220,378,purchase,2025-01-18 03:28:47
867,300,purchase,2025-01-03 04:57:23
623,161,view,2025-01-06 18:35:31
746,346,add_to_cart,2025-01-19 15:29:03
815,301,purchase,2025-01-06 22:08:07
760,269,view,2025-01-08 00:03:30
417,471,add_to_cart,2025-01-03 15:13:07
772,151,purchase,2025-01-15 17:51:29
847,302,purchase,2025-01-10 13:24:22
494,288,purchase,2025-01-02 11:06:55
928,60,purchase,2025-01-14 08:28:13
436,58,add_to_cart,2025-01-08 04:41:46
807,166,purchase,2025-01-04 17:30:23
752,215,view,2025-01-01 22:55:52
715,1,purchase,2025-01-05 16:04:54
646,6,add_to_cart,2025-01-04 09:43:52
31,457,add_to_cart,2025-01-03 16:55:44
646,357,purchase,2025-01-10 15:19:00
570,29,view,2025-01-19 12:59:08
86,318,purchase,2025-01-14 04:41:50
829,436,purchase,2025-01-02 20:30:53
343,77,view,2025-01-08 17:51:31
34,172,add_to_cart,2025-01-06 23:44:02
131,366,view,2025-01-10 21:09:14
646,263,purchase,2025-01-08 19:08:15
372,391,purchase,2025-01-06 01:27:42
222,105,purchase,2025-01-09 07:36:53
589,127,view,2025-01-06 08:21:27
340,245,view,2025-01-18 09:45:24
101,420,view,2025-01-15 08:35:55
306,352,view,2025-01-05 11:50:02
962,174,purchase,2025-01-05 13:18:01
838,198,view,2025-01-01 07:18:43
885,346,add_to_cart,2025-01-06 21:20:42
817,351,add_to_cart,2025-01-19 11:30:24
465,45,view,2025-01-12 16:15:31
707,208,purchase,2025-01-13 10:34:27
765,52,add_to_cart,2025-01-06 13:50:34
61,27,view,2025-01-08 02:46:57
4,248,purchase,2025-01-16 16:50:39
156,244,purchase,2025-01-18 18:03:43
789,341,view,2025-01-13 19:12:54
237,217,add_to_cart,2025-01-04 06:28:45
715,452,view,2025-01-09 17:20:59
863,359,purchase,2025-01-15 15:41:14
493,277,view,2025-01-15 11:41:06
586,391,add_to_cart,2025-01-03 12:34:51
872,470,purchase,2025-01-03 23:20:17
885,191,add_to_cart,2025-01-14 17:14:50
372,404,view,2025-01-11 16:49:42
306,23,purchase,2025-01-04 14:11:39
888,128,view,2025-01-09 08:19:59
698,31,add_to_cart,2025-01-18 17:03:18
292,322,add_to_cart,2025-01-14 06:50:23
664,148,purchase,2025-01-16 14:13:50
711,279,add_to_cart,2025-01-15 07:48:44
720,131,add_to_cart,2025-01-01 07:21:48
659,135,view,2025-01-01 19:56:41
542,402,view,2025-01-12 16:05:55
139,131,purchase,2025-01-11 00:16:47
472,12,purchase,2025-01-20 07:55:50
188,199,view,2025-01-15 12:54:54
563,454,view,2025-01-04 13:08:01
40,238,add_to_cart,2025-01-16 05:30:34
358,157,purchase,2025-01-13 15:48:46
638,133,purchase,2025-01-15 18:51:17
374,20,view,2025-01-12 20:53:36
6,302,add_to_cart,2025-01-19 18:46:45
295,369,add_to_cart,2025-01-15 09:35:43
61,31,purchase,2025-01-08 00:12:41
73,390,view,2025-01-06 07:05:25
440,17,add_to_cart,2025-01-06 16:59:12
358,121,purchase,2025-01-19 17:59:01
700,36,view,2025-01-08 14:35:40
958,139,view,2025-01-05 07:36:42
4,286,add_to_cart,2025-01-05 03:26:24
658,297,purchase,2025-01-09 01:14:31
81,371,view,2025-01-20 02:30:46
283,359,view,2025-01-13 20:01:00
712,468,add_to_cart,2025-01-08 08:48:19
605,39,purchase,2025-01-10 04:46:01
154,268,add_to_cart,2025-01-20 11:57:32
992,114,add_to_cart,2025-01-11 04:35:57
993,266,add_to_cart,2025-01-16 22:35:08
416,303,view,2025-01-02 03:51:49
701,472,view,2025-01-20 15:15:01
461,240,view,2025-01-05 07:33:44
932,316,view,2025-01-08 22:36:05
505,216,add_to_cart,2025-01-03 02:23:42
712,58,add_to_cart,2025-01-11 16:38:21
258,475,purchase,2025-01-14 17:41:14
229,202,view,2025-01-02 20:54:27
772,56,add_to_cart,2025-01-06 21:53:54
172,331,view,2025-01-20 14:28:07
42,207,purchase,2025-01-11 07:01:35
948,474,view,2025-01-14 23:12:15
412,431,purchase,2025-01-06 05:12:29
755,299,view,2025-01-01 02:23:12
160,209,purchase,2025-01-13 16:18:42
283,45,purchase,2025-01-10 08:57:09
629,226,view,2025-01-02 08:45:58
711,326,add_to_cart,2025-01-07 17:12:40
283,5,purchase,2025-01-11 12:49:25
622,486,view,2025-01-05 21:29:57
282,243,add_to_cart,2025-01-17 21:08:38
863,223,view,2025-01-07 16:35:51
329,395,view,2025-01-02 01:32:30
914,269,view,2025-01-16 06:15:20
295,255,purchase,2025-01-09 20:26:54
353,54,add_to_cart,2025-01-16 01:25:02
925,126,purchase,2025-01-19 15:24:46
118,417,purchase,2025-01-03 02:00:25
815,417,add_to_cart,2025-01-05 00:30:35
12,424,view,2025-01-17 16:11:43
259,312,add_to_cart,2025-01-17 02:43:16
912,154,view,2025-01-11 00:16:48
566,164,view,2025-01-05 04:28:02
121,153,purchase,2025-01-14 19:11:36
844,275,purchase,2025-01-08 23:55:41
560,8,purchase,2025-01-08 17:43:28
448,17,purchase,2025-01-08 18:01:06
918,175,view,2025-01-04 19:12:18
557,223,purchase,2025-01-08 23:25:14
823,248,view,2025-01-04 03:17:13
113,229,purchase,2025-01-13 05:18:21
